CURRENT DISTRIBUTION ALONG ONE HALF OF THE DIPOLE
POSITION Z:   MAGNITUDE:       REAL PART:       IMAGINARY PART:      SECTION #:
0.1842       0.001675            0.000410        -0.001624          242.0 

0.1832       0.001674            0.000411        -0.001623          243.0 

0.1822       0.001674            0.000413        -0.001622          244.0 

0.1812       0.001673            0.000414        -0.001621          245.0 

0.1802       0.001672            0.000416        -0.001620          246.0 

0.1792       0.001671            0.000417        -0.001619          247.0 

0.1782       0.001671            0.000419        -0.001617          248.0 

0.1772       0.001670            0.000420        -0.001616          249.0 

0.1762       0.001669            0.000422        -0.001614          250.0 

0.1752       0.001667            0.000423        -0.001613          251.0 

0.1742       0.001666            0.000425        -0.001611          252.0 

0.1732       0.001665            0.000426        -0.001610          253.0 

0.1722       0.001664            0.000428        -0.001608          254.0 

0.1712       0.001662            0.000429        -0.001606          255.0 

0.1702       0.001661            0.000430        -0.001604          256.0 

0.1692       0.001660            0.000432        -0.001602          257.0 

0.1682       0.001658            0.000433        -0.001600          258.0 

0.1672       0.001656            0.000435        -0.001598          259.0 

0.1662       0.001655            0.000436        -0.001596          260.0 

0.1652       0.001653            0.000437        -0.001594          261.0 

0.1642       0.001651            0.000439        -0.001592          262.0 

0.1632       0.001649            0.000440        -0.001589          263.0 

0.1622       0.001647            0.000442        -0.001587          264.0 

0.1612       0.001645            0.000443        -0.001584          265.0 

0.1602       0.001643            0.000444        -0.001582          266.0 

0.1592       0.001641            0.000446        -0.001579          267.0 

0.1582       0.001639            0.000447        -0.001576          268.0 

0.1572       0.001636            0.000448        -0.001574          269.0 

0.1562       0.001634            0.000450        -0.001571          270.0 

0.1552       0.001632            0.000451        -0.001568          271.0 

0.1542       0.001629            0.000452        -0.001565          272.0 

0.1532       0.001626            0.000454        -0.001562          273.0 

0.1522       0.001624            0.000455        -0.001559          274.0 

0.1512       0.001621            0.000456        -0.001556          275.0 

0.1502       0.001618            0.000458        -0.001552          276.0 

0.1492       0.001616            0.000459        -0.001549          277.0 

0.1482       0.001613            0.000460        -0.001546          278.0 

0.1472       0.001610            0.000461        -0.001542          279.0 

0.1462       0.001607            0.000463        -0.001539          280.0 

0.1452       0.001604            0.000464        -0.001535          281.0 

0.1442       0.001600            0.000465        -0.001531          282.0 

0.1432       0.001597            0.000466        -0.001528          283.0 

0.1422       0.001594            0.000468        -0.001524          284.0 

0.1412       0.001591            0.000469        -0.001520          285.0 

0.1402       0.001587            0.000470        -0.001516          286.0 

0.1392       0.001584            0.000471        -0.001512          287.0 

0.1382       0.001580            0.000473        -0.001508          288.0 

0.1372       0.001577            0.000474        -0.001504          289.0 

0.1362       0.001573            0.000475        -0.001499          290.0 

0.1352       0.001569            0.000476        -0.001495          291.0 

0.1342       0.001565            0.000477        -0.001491          292.0 

0.1332       0.001561            0.000479        -0.001486          293.0 

0.1322       0.001557            0.000480        -0.001482          294.0 

0.1312       0.001553            0.000481        -0.001477          295.0 

0.1302       0.001549            0.000482        -0.001473          296.0 

0.1292       0.001545            0.000483        -0.001468          297.0 

0.1282       0.001541            0.000484        -0.001463          298.0 

0.1271       0.001537            0.000486        -0.001458          299.0 

0.1261       0.001533            0.000487        -0.001453          300.0 

0.1251       0.001528            0.000488        -0.001448          301.0 

0.1241       0.001524            0.000489        -0.001443          302.0 

0.1231       0.001519            0.000490        -0.001438          303.0 

0.1221       0.001515            0.000491        -0.001433          304.0 

0.1211       0.001510            0.000492        -0.001428          305.0 

0.1201       0.001505            0.000493        -0.001422          306.0 

0.1191       0.001501            0.000494        -0.001417          307.0 

0.1181       0.001496            0.000495        -0.001411          308.0 

0.1171       0.001491            0.000497        -0.001406          309.0 

0.1161       0.001486            0.000498        -0.001400          310.0 

0.1151       0.001481            0.000499        -0.001394          311.0 

0.1141       0.001476            0.000500        -0.001389          312.0 

0.1131       0.001471            0.000501        -0.001383          313.0 

0.1121       0.001465            0.000502        -0.001377          314.0 

0.1111       0.001460            0.000503        -0.001371          315.0 

0.1101       0.001455            0.000504        -0.001365          316.0 

0.1091       0.001450            0.000505        -0.001359          317.0 

0.1081       0.001444            0.000506        -0.001353          318.0 

0.1071       0.001439            0.000507        -0.001346          319.0 

0.1061       0.001433            0.000508        -0.001340          320.0 

0.1051       0.001427            0.000509        -0.001334          321.0 

0.1041       0.001422            0.000510        -0.001327          322.0 

0.1031       0.001416            0.000511        -0.001321          323.0 

0.1021       0.001410            0.000512        -0.001314          324.0 

0.1011       0.001404            0.000512        -0.001308          325.0 

0.1001       0.001398            0.000513        -0.001301          326.0 

0.0991       0.001392            0.000514        -0.001294          327.0 

0.0981       0.001386            0.000515        -0.001287          328.0 

0.0971       0.001380            0.000516        -0.001280          329.0 

0.0961       0.001374            0.000517        -0.001273          330.0 

0.0951       0.001368            0.000518        -0.001266          331.0 

0.0941       0.001362            0.000519        -0.001259          332.0 

0.0931       0.001355            0.000520        -0.001252          333.0 

0.0921       0.001349            0.000521        -0.001245          334.0 

0.0911       0.001343            0.000521        -0.001237          335.0 

0.0901       0.001336            0.000522        -0.001230          336.0 

0.0891       0.001329            0.000523        -0.001222          337.0 

0.0881       0.001323            0.000524        -0.001215          338.0 

0.0871       0.001316            0.000525        -0.001207          339.0 

0.0861       0.001309            0.000526        -0.001199          340.0 

0.0851       0.001303            0.000526        -0.001192          341.0 

0.0841       0.001296            0.000527        -0.001184          342.0 

0.0831       0.001289            0.000528        -0.001176          343.0 

0.0821       0.001282            0.000529        -0.001168          344.0 

0.0811       0.001275            0.000529        -0.001160          345.0 

0.0801       0.001268            0.000530        -0.001152          346.0 

